Name,Brand,SeasonScore_Summer,SeasonScore_Winter,SeasonScore_Spring,SeasonScore_Fall,GenderScore_Men,GenderScore_Women,GenderScore_Unisex
Hapyang Eau de Parfum,"Pierre Guillaume Paris, Parfumerie Generale",0.0,4.4,1.8,0.0,0.0,7.2,0.0
Young Hearts Eau de Parfum,Bruno Acampora,6.800000000000001,5.0,13.200000000000001,3.4000000000000004,3.1,5.4,4.0
Eau de Yuzu Eau de Toilette,PARFUMS DE NICOLAI,23.200000000000003,3.2,0.0,1.4,1.2,1.4,5.4
Creme de Cuir Eau de Parfum,BDK Parfums,3.6,8.399999999999999,1.6,1.8,7.5,3.0,1.0
Tabac Rose Eau de Parfum,BDK Parfums,2.0,16.3,9.0,7.6,4.0,10.4,0.0
French Bouquet Eau de Parfum,BDK Parfums,5.2,6.4,11.9,6.800000000000001,6.7,10.6,0.0
Oud Abramad Eau de Parfum,BDK Parfums,3.5999999999999996,10.0,1.8,0.0,5.4,1.8,0.0
Rouge Smoking Eau de Parfum,BDK Parfums,3.0,7.0,0.0,0.0,1.3,1.6,0.0
Tubereuse Imperiale Eau de Parfum,BDK Parfums,1.2,5.800000000000001,6.6,1.8,3.1,5.2,0.0
Nuit de Sable Eau de Parfum,BDK Parfums,0.0,6.199999999999999,3.6,4.8,2.9000000000000004,3.6,0.0
Wood Jasmin Eau de Parfum,BDK Parfums,2.2,7.4,7.2,0.0,1.5,10.200000000000001,0.0
Pas Ce Soir Eau de Parfum,BDK Parfums,1.6,3.6,3.2,1.6,0.0,1.8,0.0
Dolceacqua Eau de Parfum,Masque Milano,3.2,2.2,5.2,0.0,0.0,6.6,0.0
Black Beard Extrait de Parfum,CALAJ Perfumes,1.8,8.799999999999999,1.8,5.0,7.5,1.8,0.0
Transilvania Extrait de Parfum,CALAJ Perfumes,0.0,7.4,5.1,1.4,3.2,5.2,0.0
Love Toxin Extrait de Parfum,CALAJ Perfumes,1.8,5.6,9.5,0.0,3.3,5.2,0.0
Oshun Extrait de Parfum,CALAJ Perfumes,3.6,10.500000000000002,5.4,8.2,2.0,6.800000000000001,1.0
Isra & Miraj Eau de Parfum,Stephane Humbert Lucas 777,1.8,18.900000000000002,0.0,8.3,8.9,1.6,0.0
Petits Papiers Eau de Parfum,Mad et Len,0.0,6.5,0.0,1.2,1.5,1.4,0.0
La Danza delle Libellule Eau de Parfum,Nobile 1942,3.6,12.600000000000001,0.0,8.2,5.800000000000001,6.9,0.0
Magnolia Grandiflora - Michel Eau de Parfum,Grandiflora,7.199999999999999,3.0,8.6,3.4000000000000004,4.9,7.2,1.0
Bell'Antonio Eau de Parfum,Hilde Soliani,1.2,6.3999999999999995,0.0,7.2,7.6,0.0,0.0
Golden Moka Eau de Parfum,Xerjoff,7.6,17.1,5.2,3.2,5.3,3.6,3.2
Oud Stars - Indochine Parfum,Xerjoff,0.0,30.599999999999998,12.0,0.0,16.5,14.4,1.0
Fatal Charme Eau de Parfum,Xerjoff - Join the Club,3.2,2.8,4.5,0.0,2.6,4.6,2.0
Mad About You Eau de Parfum,Pierre Guillaume Paris Black Collection,0.0,9.6,3.0,1.8,7.8,1.6,0.0
Anti-Blues,Pierre Guillaume Paris Black Collection,1.8,20.3,0.0,12.0,16.7,3.2,0.0
Tahiti Vanilla Parfum,Farmacia SS. Annunziata dal 1561,9.399999999999999,9.900000000000002,3.6,11.4,9.8,9.8,0.0
Fuyu Eau de Parfum,Tom Daxon,0.0,1.4,9.9,1.7,2.9000000000000004,10.0,1.0
Perfumista Eau de Parfum,Anatole Lebreton,0.0,1.4,9.0,3.5,4.7,14.100000000000001,0.0
Douleur! Eau de Parfum,Bogue Profumo,3.4000000000000004,0.0,7.2,0.0,0.0,8.6,1.0
Ambre Stone Eau de Parfum,Anthologie de Grands Crus,8.2,13.2,3.6,8.0,3.2,5.0,0.0
Vanille d'Amine Eau de Parfum,Anthologie de Grands Crus,0.0,25.5,0.0,4.800000000000001,5.1,9.600000000000001,0.0
Bergamote de G. Franco Eau de Parfum,Anthologie de Grands Crus,9.2,0.0,1.6,0.0,1.2,1.4,2.2
Vetiver de Pierre Eau de Parfum,Anthologie de Grands Crus,0.0,5.4,5.2,26.4,20.2,3.6,1.0
Jasmin de Cherifa Eau de Parfum,Anthologie de Grands Crus,1.6,0.0,16.200000000000003,3.6,4.4,19.200000000000003,1.0
I Love YY,Bogue Profumo,6.6000000000000005,7.6000000000000005,12.0,1.7,1.6,12.0,1.6
New York Eau de Parfum,Widian,12.8,14.199999999999998,7.2,7.199999999999999,9.6,10.4,3.2
Gold II Sahara Parfum Extrait,Widian,5.2,13.0,8.2,8.1,4.2,10.0,1.2
Bengale Rouge Eau de Parfum,Papillon Artisan Perfumes,2.4,23.700000000000003,6.9,9.0,3.2,14.8,0.0
Avatar Eau de Parfum,Hilde Soliani,1.2,3.6,0.0,0.0,0.0,1.4,0.0
Midnight Saffron Eau de Parfum,Tom Daxon,0.0,5.6,1.8,3.2,3.6,1.8,0.0
Dolls Eau de Parfum,Moth and Rabbit,2.8,3.0,3.2,2.9,2.9000000000000004,4.6,0.0
Opale Eau de Parfum,Omnia Profumo,9.2,10.2,5.4,3.0999999999999996,4.2,7.0,2.0
Poudrextase Eau de Parfum,Marlou,3.2,2.8,3.6,0.0,2.6,5.0,5.0
Single Man Eau de Parfum,Moth and Rabbit,4.0,10.6,4.8,12.6,6.6000000000000005,1.8,1.2
Whisky Oud Parfum Concentration,Farmacia SS. Annunziata dal 1561,0.0,23.6,0.0,6.5,23.000000000000004,1.4,0.0
Limited 71 Intense Eau de Parfum,Widian,7.4,23.4,0.0,12.399999999999999,9.700000000000001,1.4,3.4
Lambrosc Eau de Parfum,Hilde Soliani,1.2,0.0,1.8,2.4,0.0,5.999999999999999,0.0
Donna Sentenza Eau de Parfum,Hilde Soliani,0.0,6.2,0.0,0.0,0.0,3.2,2.0
Manteuse Eau de Parfum,Stephane Humbert Lucas 777,3.6,10.100000000000001,4.8,5.8,4.9,8.0,0.0
Against Nature Eau de Parfum,Timothy Han Edition Perfumes,2.0,5.0,5.0,6.4,4.7,1.8,2.0
Cornaline Eau de Parfum,Anatole Lebreton,1.2,8.8,1.6,1.6,4.2,6.1,1.0
Bluebijou Eau de Parfum,Piotr Czarnecki,2.2,9.5,3.0,5.2,9.3,1.4,0.0
Kiviskin Eau de Parfum,Piotr Czarnecki,4.4,20.0,3.1,12.3,21.200000000000003,0.0,3.0
Venom of Angel Eau de Parfum,Piotr Czarnecki,1.2,7.199999999999999,1.6,5.0,4.7,1.4,1.0
Hili Eau de Parfum,Widian,3.6,9.4,10.2,10.7,5.2,10.200000000000001,0.0
Niral Eau de Parfum,Neela Vermeire Creations,0.0,7.1,11.799999999999999,8.0,8.799999999999999,7.2,1.0
London Eau de Parfum,Widian,0.0,19.200000000000003,5.0,5.6,8.5,3.4000000000000004,0.0
Buonissimo Eau de Parfum,Hilde Soliani,1.2,8.0,0.0,0.0,0.0,6.0,0.0
Boronia Eau de Parfum,Grandiflora,2.0,4.9,8.5,8.2,4.0,9.9,1.0
Ambilux (formerly 50ml d'Ambiguite) Eau de Parfum,Marlou,0.0,11.2,0.0,7.0,8.1,1.4,0.0
Grimoire Eau de Parfum,Anatole Lebreton,4.2,9.5,1.6,4.1,4.6,0.0,1.0
The Decay Of The Angel Eau de Parfum,Timothy Han Edition Perfumes,5.6,17.6,7.2,2.9,6.7,7.2,1.0
Dryad Eau de Parfum,Papillon Artisan Perfumes,3.4000000000000004,4.0,13.9,6.2,3.8,1.6,5.0
L'homme Accompli Eau de Parfum,Divine,7.4,15.6,4.5,9.399999999999999,21.0,1.4,1.0
White Madera Eau de Parfum,Omnia Profumo,8.4,24.500000000000004,1.8,8.5,8.4,11.400000000000002,4.4
Cactus Azul Eau de Parfum,Fueguia 1833,11.6,0.0,3.2,1.8,4.0,1.8,6.0
Chamber Eau de Parfum,Fueguia 1833,6.2,0.0,3.2,0.0,0.0,0.0,3.0
Jacaranda Eau de Parfum,Fueguia 1833,0.0,0.0,1.8,1.8,1.8,1.8,0.0
Muskara Phero J Eau de Parfum,Fueguia 1833,0.0,1.4,0.0,0.0,1.3,0.0,0.0
Quilombo Eau de Parfum,Fueguia 1833,0.0,6.2,0.0,0.0,0.0,4.6,0.0
Thays Eau de Parfum,Fueguia 1833,3.0,0.0,3.2,0.0,0.0,0.0,2.0
La Cautiva Eau de Parfum,Fueguia 1833,4.0,13.9,1.6,1.2,3.9000000000000004,6.200000000000001,2.0
Biblioteca de Babel Eau de Parfum,Fueguia 1833,0.0,13.5,1.5,20.199999999999996,16.200000000000003,1.4,0.0
Panthea Eau de Parfum,Stephane Humbert Lucas 777,4.6000000000000005,8.2,9.6,5.199999999999999,4.9,7.4,2.0
Wish Come True Eau de Parfum,Stephane Humbert Lucas 777,9.0,18.4,4.8,0.0,4.3,10.8,4.4
MEM Eau de Parfum,Bogue Profumo,3.4000000000000004,10.8,10.7,5.2,9.8,14.2,1.0
Delma Eau de Parfum,Widian,5.0,10.4,6.7,4.8,5.8,5.0,3.0
Liwa Eau de Parfum,Widian,1.8,12.399999999999999,5.4,14.5,14.5,10.000000000000002,0.0
Aqaysos Eau de Parfum,Pierre Guillaume Paris Black Collection,10.0,0.0,0.0,1.8,7.4,2.9,2.0
Il Tempo delle Mele Eau de Parfum,Hilde Soliani,0.0,7.0,0.0,2.4,0.0,3.2,0.0
Hot Milk Eau de Parfum,Hilde Soliani,0.0,3.6,0.0,1.8,0.0,0.0,0.0
Carnicure (formerly L'animal sauvage) Eau de Parfum,Marlou,3.2,15.200000000000001,5.8,7.2,9.0,6.1,0.0
Passion Eau de Parfum,M. Micallef,0.0,14.400000000000002,0.0,5.4,6.7,0.0,0.0
Rahele Eau de Parfum,Neela Vermeire Creations,0.0,13.799999999999999,16.3,11.7,8.799999999999999,8.8,1.0
Sweet Parmesan Violet Eau de Parfum,Hilde Soliani,0.0,0.0,7.5,0.0,0.0,7.199999999999999,0.0
Una Tira l'Altra Eau de Parfum,Hilde Soliani,0.0,1.4,0.0,1.6,0.0,2.9,0.0
Oud Orange Intense Eau de Parfum,Fragrance du Bois,0.0,24.7,0.0,6.4,14.4,6.4,0.0
Oud Noir Intense Eau de Parfum,Fragrance du Bois,1.8,30.2,5.4,8.1,15.299999999999999,8.4,0.0
Sahraa Oud Eau de Parfum,Fragrance du Bois,0.0,26.500000000000004,3.6,9.6,16.5,6.6,0.0
London Oud Eau de Parfum,Fragrance du Bois,13.8,21.600000000000005,1.8,6.3,15.799999999999997,3.4000000000000004,0.0
Oud Jaune Intense Eau de Parfum,Fragrance du Bois,3.2,17.700000000000003,9.399999999999999,4.4,10.700000000000001,8.3,0.0
Oud Bleu Intense Eau de Parfum,Fragrance du Bois,7.2,29.000000000000004,0.0,14.0,12.7,1.4,3.2
Oud Rouge Intense Eau de Parfum,Fragrance du Bois,4.0,13.500000000000002,0.0,12.899999999999999,19.6,0.0,0.0
Verde di Persia Parfum Concentration,Farmacia SS. Annunziata dal 1561,2.0,11.3,6.6000000000000005,5.6000000000000005,2.6,4.6,3.0
20 Years Eau de Parfum,M. Micallef,6.6,15.400000000000002,8.6,4.1,1.3,13.2,2.0
Gold I Parfum Extrait,Widian,2.8,22.4,1.8,9.8,10.5,6.4,1.0
Queen Of The Night Eau de Parfum,Grandiflora,6.4,5.2,9.4,1.6,1.3,8.3,2.2
Cafe Chantant Parfum Extrait,Nobile 1942,0.0,12.400000000000002,4.8,3.6,7.7,8.0,0.0
Taklamakan Eau de Parfum,Stephane Humbert Lucas 777,1.8,30.6,3.6,16.599999999999998,10.8,12.6,0.0
"Eye, Hatshepsut Eau de Parfum",Charenton Macerations,0.0,8.4,3.3,1.8,4.4,1.8,0.0
Perdizione Eau de Parfum,Nobile 1942,9.0,5.800000000000001,5.0,1.7,2.9000000000000004,9.600000000000001,0.0
Sandalo Nobile Eau de Parfum,Nobile 1942,1.6,3.2,4.6,10.6,10.900000000000002,0.0,2.0
On The Road Eau de Parfum,Timothy Han Edition Perfumes,9.2,10.799999999999999,4.6,3.7,3.6,1.6,3.2
Black V Parfum Extrait,Widian,8.4,9.3,7.6,8.2,3.2,6.4,0.0
Incarnata Eau de Parfum,Anatole Lebreton,0.0,7.5,6.6,4.4,0.0,11.200000000000001,0.0
La Haine Eau de Parfum,Moth and Rabbit,0.0,3.4,0.0,1.7,4.9,0.0,0.0
Madagascan Jasmine Eau de Parfum,Grandiflora,5.6,0.0,19.4,0.0,0.0,16.2,5.4
La Danza delle Libellule Exceptional Edition Parfum Extrait,Nobile 1942,1.8,11.600000000000001,0.0,5.3,2.9000000000000004,8.400000000000002,0.0
Salome Eau de Parfum,Papillon Artisan Perfumes,5.0,7.6,11.8,2.0,4.0,12.0,0.0
Black I Parfum Extrait,Widian,0.0,15.6,0.0,13.4,12.200000000000001,0.0,0.0
Black II Parfum Extrait,Widian,1.6,17.0,3.6,3.6,5.800000000000001,14.399999999999999,3.4
Black III Parfum Extrait,Widian,6.6000000000000005,10.0,0.0,6.0,7.2,4.7,3.8
Black IV Parfum Extrait,Widian,3.6,13.400000000000002,9.0,1.8,8.2,16.8,2.4
Goddess of Love & Perfume Parfum Extrait,4160 Tuesdays,5.6,5.2,5.3,0.0,1.3,6.7,0.0
L'Eau Scandaleuse Eau de Parfum,Anatole Lebreton,3.6,15.8,3.0,0.0,14.0,1.4,0.0
Bois Lumiere Eau de Parfum,Anatole Lebreton,0.0,0.0,5.4,8.299999999999999,1.6,12.4,0.0
Maxed Out Parfum Extrait,4160 Tuesdays,1.5,9.6,0.0,5.300000000000001,3.6,3.2,0.0
Alchemico Eau de Parfum,Mazzolari,2.8,13.3,5.4,9.0,9.6,6.800000000000001,1.0
Fougere Nobile Eau de Parfum,Nobile 1942,7.6000000000000005,10.2,0.0,11.8,16.6,0.0,1.0
Mortal Skin Eau de Parfum,Stephane Humbert Lucas 777,0.0,10.600000000000001,1.5,6.1000000000000005,5.7,2.8,0.0
Spirituelle Eau de Cologne,Divine,1.6,9.7,5.4,4.5,5.7,5.4,1.0
Black Amber perfume oil,Michele Bergman,0.0,17.3,0.0,9.2,0.0,6.200000000000001,0.0
She Came to Stay Eau de Parfum,Timothy Han Edition Perfumes,10.399999999999999,13.900000000000002,1.4,13.799999999999999,7.800000000000001,0.0,2.0
L'homme de Coeur Eau de Parfum,Divine,1.6,8.0,3.0,4.800000000000001,5.800000000000001,3.2,1.0
L'Homme Sage Eau de Parfum,Divine,0.0,17.8,0.0,10.6,7.3,0.0,0.0
L'Etre Aime - Homme Eau de Parfum,Divine,3.6,8.2,0.0,11.4,10.399999999999999,2.2,0.0
Augusto Eau de Parfum,Mazzolari,10.4,3.6,0.0,8.0,10.399999999999999,1.4,3.0
Le Rose Eau de Parfum,Mazzolari,1.6,2.8,19.6,3.6,5.800000000000001,18.0,2.0
Pichola Eau de Parfum,Neela Vermeire Creations,12.400000000000002,8.2,9.399999999999999,18.0,10.2,5.0,2.2
O/E Eau de Parfum,Bogue Profumo,13.2,6.3,5.2,9.899999999999999,7.0,3.6,3.0
Asphalt Rainbow Scratch & Sniff Sticker Set,Charenton Macerations,0.0,5.6,12.2,1.6,2.0,9.0,0.0
Asphalt Rainbow Eau de Parfum,Charenton Macerations,1.6,5.6,12.2,1.6,2.0,9.0,1.0
Cristallo di Rocca Eau de Parfum,Omnia Profumo,8.4,7.6,10.100000000000001,6.800000000000001,4.800000000000001,10.000000000000002,6.4
Morning Muscs Eau de Parfum,Alexandre. J,3.0,3.0,9.6,0.0,1.3,6.4,0.0
Black Muscs Eau de Parfum,Alexandre. J,11.2,12.0,6.9,4.800000000000001,2.6,5.4,2.2
Rose Oud Eau de Parfum,Alexandre. J,2.0,16.0,7.2,3.4000000000000004,8.6,10.200000000000001,0.0
Silver Ombre Eau de Parfum,Alexandre. J,6.8,21.9,6.6,10.799999999999999,2.9000000000000004,9.8,2.2
Vaniglia Eau de Parfum,Mazzolari,0.0,4.4,1.8,0.0,0.0,6.4,0.0
Nero Eau de Parfum,Mazzolari,1.8,10.8,3.6,4.6,3.5,5.2,2.0
Christopher Street Eau de Parfum,Charenton Macerations,4.9,13.8,3.2,9.0,11.0,4.0,2.4
Rudis Eau de Parfum,Nobile 1942,1.8,20.799999999999997,1.8,7.9,15.1,3.2,2.4
Gardenia Eau de Parfum,M. Micallef,0.0,6.4,11.1,5.2,5.800000000000001,3.6,0.0
Mohur Extrait Parfum Extrait,Neela Vermeire Creations,0.0,17.5,8.4,6.7,9.3,7.0,0.0
Maai Eau de Parfum,Bogue Profumo,0.0,9.0,10.0,5.0,7.1000000000000005,7.6000000000000005,3.4
SHE Shihan Eau de Parfum,Piotr Czarnecki,1.6,12.000000000000002,10.2,4.0,5.5,18.4,3.4
Mood Indigo Eau de Parfum,Moth and Rabbit,3.2,9.0,3.4,5.2,7.7,0.0,0.0
Love Exposure Eau de Parfum,Moth and Rabbit,2.5999999999999996,14.400000000000002,3.6,7.0,9.1,6.800000000000001,1.0
Anubis Eau de Parfum,Papillon Artisan Perfumes,0.0,3.6,3.6,1.8,3.1,3.6,0.0
Tobacco Rose Eau de Parfum,Papillon Artisan Perfumes,0.0,5.0,18.0,6.800000000000001,6.2,21.599999999999998,0.0
Angelique Eau de Parfum,Papillon Artisan Perfumes,1.2,0.0,6.0,1.7,1.6,0.0,0.0
2022 Generation Homme Eau de Parfum,Stephane Humbert Lucas 777,9.2,19.099999999999998,0.0,2.4,10.8,0.0,1.0
Shihan Eau de Parfum,Piotr Czarnecki,0.0,23.1,0.0,17.200000000000003,8.4,1.4,0.0
Black Gemstone Eau de Parfum,Stephane Humbert Lucas 777,8.0,13.200000000000001,0.0,1.7,7.6,0.0,0.0
Oumma Eau de Parfum,Stephane Humbert Lucas 777,0.0,19.400000000000002,10.8,1.2,14.899999999999999,10.8,0.0
Rose de Petra Eau de Parfum,Stephane Humbert Lucas 777,1.2,3.0,26.6,3.0,0.0,25.200000000000003,1.0
Soleil de Jeddah Eau de Parfum,Stephane Humbert Lucas 777,6.0,14.4,7.8,6.0,6.0,6.6000000000000005,1.2
Khol de Bahrein Eau de Parfum,Stephane Humbert Lucas 777,0.0,12.399999999999999,15.3,8.0,1.6,4.800000000000001,0.0
O Hira Eau de Parfum,Stephane Humbert Lucas 777,0.0,19.1,0.0,14.0,0.0,3.0,0.0
Une Nuit a Doha Eau de Parfum,Stephane Humbert Lucas 777,0.0,11.0,0.0,8.0,5.8,6.200000000000001,0.0
Magnolia Grandiflora - Sandrine Eau de Parfum,Grandiflora,13.4,0.0,5.2,2.5999999999999996,0.0,5.1,1.0
Vani Choc Eau de Parfum,Hilde Soliani,11.4,11.900000000000002,0.0,4.8,3.2,7.800000000000001,5.6
Tendre est la Nuit Eau de Parfum,Majda Bekkali,0.0,9.2,0.0,0.0,6.2,2.8,0.0
Monsieur Eau de Parfum,Pierre Guillaume Paris Black Collection,2.2,3.6,1.6,11.5,11.7,0.0,1.0
Ashoka Eau de Parfum,Neela Vermeire Creations,2.0,10.4,13.7,10.8,12.3,12.2,3.6
Cologne Absolute Eau de Parfum,Tom Daxon,11.6,3.2,6.6,1.4,0.0,3.4000000000000004,3.2
Sicilian Wood Eau de Parfum,Tom Daxon,13.6,3.5,7.0,8.4,4.800000000000001,3.6,3.5999999999999996
Resin Sacra Eau de Parfum,Tom Daxon,0.0,4.5,0.0,4.6000000000000005,3.4000000000000004,1.4,0.0
Iridium Eau de Parfum,Tom Daxon,0.0,0.0,3.0,3.3,3.4000000000000004,0.0,0.0
Salvia Sclarea Eau de Parfum,Tom Daxon,4.6000000000000005,1.4,14.8,1.4,1.3,5.4,6.0
Agua Magnoliana Eau de Parfum,Fueguia 1833,2.0,0.0,5.4,1.8,1.6,8.4,3.2
Talc Gourmand Eau de Parfum,Farmacia SS. Annunziata dal 1561,0.0,23.900000000000002,0.0,6.2,3.2,7.800000000000001,0.0
Orgasmo Eau de Parfum,Hilde Soliani,0.0,3.4,0.0,1.2,1.6,1.4,0.0
J'ai Fait Un Reve - Obscur Eau de Parfum,Majda Bekkali,3.0,5.6000000000000005,3.6,3.0999999999999996,3.5,5.2,0.0
J'ai Fait Un Reve - Clair Eau de Parfum,Majda Bekkali,5.6,16.7,6.4,2.9,12.5,5.0,1.0
Fusion Sacree - Clair Eau de Parfum,Majda Bekkali,5.0,13.400000000000002,7.8999999999999995,4.6,5.800000000000001,8.200000000000001,0.0
Fusion Sacree - Obscur Eau de Parfum,Majda Bekkali,3.2,13.600000000000001,3.0,11.2,6.3,7.3999999999999995,0.0
Mon Nom Est Rouge Eau de Parfum,Majda Bekkali,2.0,24.700000000000003,7.2,11.8,12.8,11.0,0.0
Platino,Omnia Profumo,2.4,9.0,3.6,0.0,2.6,8.4,0.0
L'homme infini Eau de Parfum,Divine,0.0,6.8999999999999995,1.6,19.7,12.2,0.0,1.0
Crema di Latte Eau de Parfum,Hilde Soliani,3.0,11.100000000000001,0.0,3.0,0.0,4.6,0.0
Cristina Eau de Parfum,Hilde Soliani,0.0,23.400000000000002,0.0,1.6,3.4,3.2,0.0
Poudre de Riz Eau de Parfum,Pierre Guillaume Paris Black Collection,0.0,7.800000000000001,5.1,4.7,3.2,8.4,0.0
450 Eau de Parfum,Farmacia SS. Annunziata dal 1561,4.8,10.9,5.1,4.2,6.699999999999999,6.800000000000001,4.6
Emir Eau de parfum,M. Micallef,4.8,20.4,0.0,3.3,21.5,1.4,0.0
